Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,160074267,2050.57515581239,5238169,67.10172356026862,745256,3325260,42.59707491033964,88491,1.1335828644649961,13262,
United States of America,Americas,32461049,9806.88,293079,88.54,36412,577510,174.47,4523,1.37,696,Community transmission
India,South-East Asia,23703665,1717.65,2626255,190.31,362727,258317,18.72,28149,2.04,4120,Clusters of cases
Brazil,Americas,15282705,7189.85,425817,200.33,72715,425540,200.2,13952,6.56,2311,Community transmission
France,Europe,5728256,8807.37,112076,172.32,21498,106335,163.49,1421,2.18,184,Community transmission
Turkey,Europe,5072462,6014.37,116868,138.57,13029,43821,51.96,1938,2.3,232,Community transmission
Russian Federation,Europe,4905059,3361.14,49931,34.21,8217,114331,78.34,2085,1.43,355,Clusters of cases
The United Kingdom,Europe,4441979,6543.29,16035,23.62,2284,127640,188.02,70,0.1,11,Community transmission
Italy,Europe,4131078,6926.52,60678,101.74,7848,123544,207.14,1539,2.58,262,Clusters of cases
Spain,Europe,3592751,7590.43,36011,76.08,3210,79208,167.34,261,0.55,9,Community transmission
Germany,Europe,3565704,4287.42,92201,110.86,17419,85658,103,1532,1.84,278,Community transmission
Argentina,Americas,3191097,7060.61,143680,317.91,25976,68311,151.14,3109,6.88,490,Community transmission
Colombia,Americas,3031726,5958.24,111921,219.96,16425,78771,154.81,3144,6.18,429,Community transmission
Poland,Europe,2845762,7497.11,27384,72.14,3423,71021,187.1,2028,5.34,342,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2707761,3223.8,116152,138.29,16409,75934,90.41,2366,2.82,366,Community transmission
Mexico,Americas,2368393,1836.92,15429,11.97,1897,219323,170.11,1583,1.23,234,Community transmission
Ukraine,Europe,2135886,4883.84,38862,88.86,6813,47333,108.23,1882,4.3,346,Community transmission
Peru,Americas,1858239,5635.83,39550,119.95,4869,64691,196.2,2017,6.12,318,Community transmission
Indonesia,South-East Asia,1728204,631.83,36546,13.36,4608,47617,17.41,1268,0.46,152,Community transmission
Czechia,Europe,1649947,15428.81,8827,82.54,1280,29825,278.9,304,2.84,38,Community transmission
South Africa,Africa,1602031,2701.17,13810,23.28,2759,54968,92.68,411,0.69,72,Community transmission
Netherlands,Europe,1577754,9063.6,46231,265.58,6422,17399,99.95,156,0.9,16,Community transmission
Canada,Americas,1299572,3443.29,49622,131.48,5386,24714,65.48,318,0.84,32,Community transmission
Chile,Americas,1260448,6593.61,37499,196.16,3902,27384,143.25,658,3.44,28,Community transmission
Iraq,Eastern Mediterranean,1127580,2803.36,35626,88.57,4666,15855,39.42,215,0.53,21,Community transmission
Philippines,Western Pacific,1118359,1020.58,44824,40.9,4812,18714,17.08,914,0.83,94,Community transmission
Romania,Europe,1068817,5529.65,7922,40.99,930,29233,151.24,617,3.19,98,Community transmission
Sweden,Europe,1027934,9953.28,32400,313.72,6333,14267,138.14,34,0.33,1,Community transmission
Belgium,Europe,1023583,8883.39,14126,122.6,1,24630,213.76,186,1.61,4,Community transmission
Pakistan,Eastern Mediterranean,867438,392.7,25802,11.68,2881,19210,8.7,781,0.35,104,Community transmission
Portugal,Europe,840493,8163.37,2391,23.22,485,16998,165.09,15,0.15,4,Clusters of cases
Israel,Europe,839042,9693.7,320,3.7,20,6379,73.7,8,0.09,1,Community transmission
Hungary,Europe,795200,8139.6,7553,77.31,1416,28970,296.53,673,6.89,82,Community transmission
Bangladesh,South-East Asia,777397,472.04,10059,6.11,1140,12045,7.31,290,0.18,40,Community transmission
Jordan,Eastern Mediterranean,722336,7079.55,5413,53.05,483,9180,89.97,192,1.88,29,Community transmission
Serbia,Europe,703497,10156.3,7622,110.04,1046,6611,95.44,133,1.92,17,Community transmission
Switzerland,Europe,674138,7789.34,7481,86.44,3,10080,116.47,21,0.24,0,Community transmission
Japan,Western Pacific,658629,520.75,42506,33.61,6927,11165,8.83,648,0.51,101,Clusters of cases
Austria,Europe,629893,7076.6,7680,86.28,1179,10170,114.26,105,1.18,14,Community transmission
United Arab Emirates,Eastern Mediterranean,540646,5466.37,11426,115.53,1508,1619,16.37,18,0.18,2,Clusters of cases
Lebanon,Eastern Mediterranean,534388,7829.35,4171,61.11,703,7549,110.6,159,2.33,22,Community transmission
Morocco,Eastern Mediterranean,514432,1393.73,1776,4.81,268,9088,24.62,45,0.12,5,Community transmission
Malaysia,Western Pacific,453222,1400.3,28846,89.12,4765,1761,5.44,170,0.53,39,Community transmission
Saudi Arabia,Eastern Mediterranean,429389,1233.38,7073,20.32,1020,7111,20.43,93,0.27,13,Community transmission
Nepal,South-East Asia,422349,1449.54,62739,215.33,9238,4252,14.59,777,2.67,168,Clusters of cases
Bulgaria,Europe,412814,5938.5,4987,71.74,657,17150,246.71,377,5.42,46,Clusters of cases
Ecuador,Americas,402595,2281.89,9547,54.11,0,19286,109.31,379,2.15,0,Community transmission
Kazakhstan,Europe,396130,2109.69,5078,27.04,0,4542,24.19,0,0,0,Clusters of cases
Slovakia,Europe,386868,7088.26,2208,40.46,328,12135,222.34,215,3.94,39,Clusters of cases
Belarus,Europe,371405,3930.49,7673,81.2,896,2661,28.16,69,0.73,9,Community transmission
Greece,Europe,369554,3447.79,17527,163.52,2478,11211,104.59,447,4.17,70,Community transmission
Panama,Americas,368368,8537.38,2749,63.71,460,6282,145.59,34,0.79,5,Community transmission
Croatia,Europe,348158,8579.2,7106,175.1,1064,7623,187.84,268,6.6,34,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,332111,6510.18,3534,69.27,493,3669,71.92,84,1.65,8,Community transmission
Azerbaijan,Europe,328159,3236.55,4318,42.59,558,4726,46.61,109,1.08,13,Clusters of cases
Georgia,Europe,326441,8183.17,8722,218.64,776,4379,109.77,152,3.81,16,Community transmission
Tunisia,Eastern Mediterranean,324103,2742.31,8503,71.95,1105,11637,98.46,515,4.36,81,Community transmission
Bolivia (Plurinational State of),Americas,322578,2763.45,12006,102.85,2369,13308,114.01,226,1.94,50,Community transmission
Paraguay,Americas,302061,4234.97,15394,215.83,2377,7284,102.12,562,7.88,75,Community transmission
Kuwait,Eastern Mediterranean,288184,6748.14,7648,179.09,985,1669,39.08,59,1.38,9,Community transmission
Costa Rica,Americas,273714,5373.14,15734,308.87,2236,3456,67.84,146,2.87,26,Community transmission
Dominican Republic,Americas,273497,2521.2,4936,45.5,688,3554,32.76,45,0.41,4,Community transmission
Ethiopia,Africa,264367,229.96,4228,3.68,695,3938,3.43,143,0.12,27,Community transmission
Lithuania,Europe,262335,9388.92,8244,295.05,1207,4071,145.7,71,2.54,12,Community transmission
Denmark,Europe,262159,4502.31,6689,114.88,1246,2499,42.92,7,0.12,0,Community transmission
Ireland,Europe,254013,5116.65,2926,58.94,446,4937,99.45,22,0.44,8,Community transmission
Republic of Moldova,Europe,253173,6276.04,1353,33.54,224,5981,148.27,89,2.21,11,Community transmission
Slovenia,Europe,247449,11806.56,3669,175.06,726,4621,220.48,10,0.48,0,Clusters of cases
Egypt,Eastern Mediterranean,240927,235.43,8022,7.84,1187,14091,13.77,436,0.43,58,Clusters of cases
Guatemala,Americas,237682,1326.68,6393,35.68,1416,7815,43.62,173,0.97,39,Community transmission
Uruguay,Americas,225847,6501.57,18901,544.11,2977,3208,92.35,347,9.99,37,Community transmission
Honduras,Americas,222118,2242.57,6285,63.46,1130,5789,58.45,403,4.07,88,Community transmission
Armenia,Europe,220217,7431.64,1892,63.85,267,4291,144.81,99,3.34,19,Community transmission
Qatar,Eastern Mediterranean,212124,7362.72,3247,112.7,392,519,18.01,30,1.04,3,Community transmission
Venezuela (Bolivarian Republic of),Americas,210116,738.91,8309,29.22,954,2320,8.16,112,0.39,16,Community transmission
Oman,Eastern Mediterranean,202713,3969.61,4141,81.09,0,2148,42.06,77,1.51,0,Community transmission
Bosnia and Herzegovina,Europe,201796,6150.79,1914,58.34,284,8943,272.58,207,6.31,31,Community transmission
Bahrain,Eastern Mediterranean,194289,11418.19,10959,644.05,1539,705,41.43,41,2.41,8,Community transmission
Libya,Eastern Mediterranean,180945,2633.35,2018,29.37,253,3082,44.85,24,0.35,5,Community transmission
Nigeria,Africa,165559,80.31,286,0.14,44,2066,1,3,0,1,Community transmission
Kenya,Africa,164386,305.71,2993,5.57,410,2950,5.49,125,0.23,22,Community transmission
North Macedonia,Europe,154372,7409.69,1235,59.28,150,5151,247.24,135,6.48,16,Clusters of cases
Myanmar,South-East Asia,142997,262.81,139,0.26,23,3211,5.9,2,0,1,Clusters of cases
Puerto Rico,Americas,135769,4745.75,2064,72.15,43,2395,83.72,58,2.03,11,Community transmission
Sri Lanka,South-East Asia,132527,618.9,14998,70.04,1429,868,4.05,148,0.69,18,Clusters of cases
Albania,Europe,131845,4581.45,426,14.8,42,2423,84.2,20,0.69,3,Clusters of cases
Republic of Korea,Western Pacific,129633,252.85,4114,8.02,715,1891,3.69,40,0.08,7,Clusters of cases
Estonia,Europe,126364,9508.37,2217,166.82,300,1212,91.2,25,1.88,2,Clusters of cases
Latvia,Europe,125689,6588.6,4953,259.64,729,2223,116.53,57,2.99,6,Community transmission
Algeria,Africa,124682,284.33,1410,3.22,199,3350,7.64,51,0.12,7,Community transmission
Cuba,Americas,119375,1053.93,7721,68.17,1207,768,6.78,74,0.65,13,Community transmission
Norway,Europe,117494,2188.96,3060,57.01,473,774,14.42,7,0.13,6,Clusters of cases
Kosovo[1],Europe,106608,5936.96,787,43.83,113,2207,122.91,22,1.23,4,Community transmission
China,Western Pacific,103902,7.06,171,0.01,32,4858,0.33,0,0,0,Clusters of cases
Kyrgyzstan,Europe,99645,1527.32,2367,36.28,329,1681,25.77,41,0.63,6,Clusters of cases
Montenegro,Europe,98443,15674.09,307,48.88,0,1545,245.99,18,2.87,0,Clusters of cases
Uzbekistan,Europe,95826,286.31,2650,7.92,359,667,1.99,10,0.03,1,Clusters of cases
Thailand,South-East Asia,93794,134.38,16983,24.33,4887,518,0.74,182,0.26,32,Clusters of cases
Ghana,Africa,93125,299.7,297,0.96,114,783,2.52,0,0,0,Community transmission
Zambia,Africa,92211,501.58,362,1.97,59,1259,6.85,4,0.02,1,Community transmission
Finland,Europe,89270,1615.66,1472,26.64,280,930,16.83,12,0.22,3,Community transmission
Cameroon,Africa,74733,281.52,0,0,0,1144,4.31,0,0,0,Community transmission
El Salvador,Americas,70380,1085.07,383,5.9,0,2168,33.42,27,0.42,4,Community transmission
Cyprus,Europe,70358,7923.15,2376,267.57,260,341,38.4,14,1.58,2,Clusters of cases
Mozambique,Africa,70287,224.88,235,0.75,20,826,2.64,8,0.03,0,Community transmission
Luxembourg,Europe,68748,10980.21,898,143.43,196,806,128.73,6,0.96,0,Community transmission
Afghanistan,Eastern Mediterranean,63045,161.95,1883,4.84,327,2721,6.99,57,0.15,8,Community transmission
Singapore,Western Pacific,61419,1049.84,151,2.58,16,31,0.53,0,0,0,Sporadic cases
Namibia,Africa,50515,1988.07,1192,46.91,214,702,27.63,35,1.38,6,Community transmission
Botswana,Africa,49041,2085.41,1190,50.6,0,751,31.94,27,1.15,0,Community transmission
Jamaica,Americas,46922,1584.58,728,24.58,101,820,27.69,26,0.88,6,Community transmission
Côte d’Ivoire,Africa,46516,176.34,285,1.08,32,292,1.11,1,0,0,Community transmission
Mongolia,Western Pacific,46448,1416.84,4924,150.2,512,184,5.61,54,1.65,5,Clusters of cases
Uganda,Africa,42487,92.89,385,0.84,60,346,0.76,3,0.01,0,Community transmission
Senegal,Africa,40762,243.44,218,1.3,33,1121,6.69,7,0.04,1,Community transmission
Maldives,South-East Asia,40092,7416.97,7427,1373.99,1572,87,16.09,13,2.4,0,Clusters of cases
Madagascar,Africa,39510,142.68,1394,5.03,159,738,2.67,48,0.17,6,Community transmission
Zimbabwe,Africa,38466,258.81,109,0.73,18,1579,10.62,5,0.03,0,Community transmission
Sudan,Eastern Mediterranean,34889,79.57,188,0.43,0,2446,5.58,10,0.02,0,Clusters of cases
Malawi,Africa,34186,178.7,43,0.22,3,1153,6.03,2,0.01,0,Community transmission
Malta,Europe,30469,5921.32,58,11.27,5,417,81.04,1,0.19,0,Clusters of cases
Democratic Republic of the Congo,Africa,30429,33.98,299,0.33,40,775,0.87,5,0.01,0,Community transmission
Australia,Western Pacific,29947,117.44,82,0.32,8,910,3.57,0,0,0,Clusters of cases
Angola,Africa,29405,89.47,1876,5.71,259,645,1.96,27,0.08,6,Community transmission
